,0
485,Maximum Likelihood optimization failed to converge. Check mle_retvals
486,Retrying MixedLM optimization with lbfgs
487,The MLE may be on the boundary of the parameter space.
488,Maximum Likelihood optimization failed to converge. Check mle_retvals
489,Retrying MixedLM optimization with lbfgs
490,The MLE may be on the boundary of the parameter space.
491,Maximum Likelihood optimization failed to converge. Check mle_retvals
492,Retrying MixedLM optimization with lbfgs
493,The MLE may be on the boundary of the parameter space.
494,Maximum Likelihood optimization failed to converge. Check mle_retvals
495,Retrying MixedLM optimization with lbfgs
496,The MLE may be on the boundary of the parameter space.
497,Maximum Likelihood optimization failed to converge. Check mle_retvals
498,Retrying MixedLM optimization with lbfgs
499,The MLE may be on the boundary of the parameter space.
500,Maximum Likelihood optimization failed to converge. Check mle_retvals
501,Retrying MixedLM optimization with lbfgs
502,The MLE may be on the boundary of the parameter space.
503,Maximum Likelihood optimization failed to converge. Check mle_retvals
504,Retrying MixedLM optimization with lbfgs
505,The MLE may be on the boundary of the parameter space.
506,Maximum Likelihood optimization failed to converge. Check mle_retvals
507,Retrying MixedLM optimization with lbfgs
508,The MLE may be on the boundary of the parameter space.
509,Maximum Likelihood optimization failed to converge. Check mle_retvals
510,Retrying MixedLM optimization with lbfgs
511,The MLE may be on the boundary of the parameter space.
512,Maximum Likelihood optimization failed to converge. Check mle_retvals
513,Retrying MixedLM optimization with lbfgs
514,The MLE may be on the boundary of the parameter space.
515,Maximum Likelihood optimization failed to converge. Check mle_retvals
516,Retrying MixedLM optimization with lbfgs
517,The MLE may be on the boundary of the parameter space.
518,Maximum Likelihood optimization failed to converge. Check mle_retvals
519,Retrying MixedLM optimization with lbfgs
520,The MLE may be on the boundary of the parameter space.
521,Maximum Likelihood optimization failed to converge. Check mle_retvals
522,Retrying MixedLM optimization with lbfgs
523,The MLE may be on the boundary of the parameter space.
524,Maximum Likelihood optimization failed to converge. Check mle_retvals
525,Retrying MixedLM optimization with lbfgs
526,The MLE may be on the boundary of the parameter space.
527,Maximum Likelihood optimization failed to converge. Check mle_retvals
528,Retrying MixedLM optimization with lbfgs
529,The MLE may be on the boundary of the parameter space.
530,Maximum Likelihood optimization failed to converge. Check mle_retvals
531,Retrying MixedLM optimization with lbfgs
532,The MLE may be on the boundary of the parameter space.
533,Maximum Likelihood optimization failed to converge. Check mle_retvals
534,Retrying MixedLM optimization with lbfgs
535,The MLE may be on the boundary of the parameter space.
536,Maximum Likelihood optimization failed to converge. Check mle_retvals
537,Retrying MixedLM optimization with lbfgs
538,The MLE may be on the boundary of the parameter space.
539,Maximum Likelihood optimization failed to converge. Check mle_retvals
540,Retrying MixedLM optimization with lbfgs
541,The MLE may be on the boundary of the parameter space.
542,Maximum Likelihood optimization failed to converge. Check mle_retvals
543,Retrying MixedLM optimization with lbfgs
544,The MLE may be on the boundary of the parameter space.
545,Maximum Likelihood optimization failed to converge. Check mle_retvals
546,Retrying MixedLM optimization with lbfgs
547,The MLE may be on the boundary of the parameter space.
548,Maximum Likelihood optimization failed to converge. Check mle_retvals
549,Retrying MixedLM optimization with lbfgs
550,The MLE may be on the boundary of the parameter space.
551,Maximum Likelihood optimization failed to converge. Check mle_retvals
552,Retrying MixedLM optimization with lbfgs
553,The MLE may be on the boundary of the parameter space.
554,Maximum Likelihood optimization failed to converge. Check mle_retvals
555,Retrying MixedLM optimization with lbfgs
556,The MLE may be on the boundary of the parameter space.
557,Maximum Likelihood optimization failed to converge. Check mle_retvals
558,Retrying MixedLM optimization with lbfgs
559,The MLE may be on the boundary of the parameter space.
560,Maximum Likelihood optimization failed to converge. Check mle_retvals
561,Retrying MixedLM optimization with lbfgs
562,The MLE may be on the boundary of the parameter space.
563,Maximum Likelihood optimization failed to converge. Check mle_retvals
564,Retrying MixedLM optimization with lbfgs
565,The MLE may be on the boundary of the parameter space.
566,Maximum Likelihood optimization failed to converge. Check mle_retvals
567,Retrying MixedLM optimization with lbfgs
568,The MLE may be on the boundary of the parameter space.
569,Maximum Likelihood optimization failed to converge. Check mle_retvals
570,Retrying MixedLM optimization with lbfgs
571,The MLE may be on the boundary of the parameter space.
572,Maximum Likelihood optimization failed to converge. Check mle_retvals
573,Retrying MixedLM optimization with lbfgs
574,The MLE may be on the boundary of the parameter space.
575,Maximum Likelihood optimization failed to converge. Check mle_retvals
576,Retrying MixedLM optimization with lbfgs
577,The MLE may be on the boundary of the parameter space.
578,Maximum Likelihood optimization failed to converge. Check mle_retvals
579,Retrying MixedLM optimization with lbfgs
580,The MLE may be on the boundary of the parameter space.
581,The MLE may be on the boundary of the parameter space.
582,Maximum Likelihood optimization failed to converge. Check mle_retvals
583,Retrying MixedLM optimization with lbfgs
584,The MLE may be on the boundary of the parameter space.
585,The MLE may be on the boundary of the parameter space.
586,The MLE may be on the boundary of the parameter space.
587,The MLE may be on the boundary of the parameter space.
588,The MLE may be on the boundary of the parameter space.
589,The MLE may be on the boundary of the parameter space.
590,Maximum Likelihood optimization failed to converge. Check mle_retvals
591,Retrying MixedLM optimization with lbfgs
592,The MLE may be on the boundary of the parameter space.
593,Maximum Likelihood optimization failed to converge. Check mle_retvals
594,Retrying MixedLM optimization with lbfgs
